epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy
1,1.4097596959875502,0.30111607941091945,1.1086436184757564,0.11044234260055412,0.9047804508216601,0.17202684229376095,0.7327536086572332,0.7997048281678263
2,1.0384513625240352,0.2352228791953796,0.8032284806266012,0.3460399350339161,0.9249750719912248,0.16353172732594226,0.7614433445375193,0.8491109705530958
3,0.9440597067410458,0.22746162823076357,0.7165980792349111,0.4006878761822872,0.8540080986653639,0.16090653513392156,0.6931015641676399,0.8478459484152083
4,0.8804352555790205,0.22330787286178036,0.6571273835913505,0.4940288525843126,0.8333588217690318,0.16115309322386787,0.6722057287310488,0.7876168388502355
5,0.8272362710799326,0.22030660075855263,0.6069296696722035,0.6144071844845705,1.0281856220129948,0.16070205013906053,0.8674835701067187,0.7027900766041183
6,0.7703036678615245,0.21829251579002856,0.5520111516130862,0.6671443584599217,0.9142051443747689,0.15908380047977075,0.7551213436363301,0.7557101693724084
7,0.7271865220446635,0.2161460038389485,0.5110405177501527,0.7081303143212,1.027107315611727,0.15543693219026097,0.8716703832706637,0.6754515426242181
8,0.6906777691383286,0.21482439701760112,0.4758533741978072,0.7337345944396675,1.3561462698268307,0.15783239102179691,1.198313877624272,0.618244430388643
9,0.6479878590397841,0.21328896694251911,0.43469889217271745,0.7731919365625298,1.2337409654247744,0.1531712574271268,1.0805697089145052,0.6403120387940122
10,0.6075586937108103,0.21174488158767904,0.3958138117017361,0.7880003821534346,1.1460673384542786,0.15478852547281566,0.9912788140831581,0.7291447044767728
11,0.5768961024720564,0.2102308605192634,0.36666524221723273,0.8065348237317282,1.5580162324073636,0.15370436321104375,1.4043118702535076,0.5976526811441423
12,0.5502702132831208,0.2091735992326178,0.3410966131991708,0.8312792586223369,1.9324695097770934,0.1564167444262688,1.7760527663006702,0.5603345280764636
13,0.5216125890895905,0.20807136733768616,0.3135412204193843,0.8448457055507786,1.2406163420393341,0.14917640986927813,1.0914399335000493,0.693864642631246
14,0.49506867472895627,0.2066784683072921,0.288390206302079,0.8544950797745294,1.2930874013123286,0.1481934470137044,1.144893954953672,0.7148780659217092
15,0.466483667320607,0.2055324143508996,0.26095125364272964,0.8664373746059043,1.827761277888394,0.15080135038243098,1.6769599273305507,0.6235153559631738
16,0.44477518018592427,0.20471437546611687,0.240060805193877,0.8771376707748161,2.3084613977124344,0.15583192854512307,2.1526294723399215,0.5678543818961276
17,0.42026990535346487,0.20383486085353977,0.21643504539681355,0.8909907327792108,2.3612472208580573,0.1504836011209603,2.210763617471396,0.5946306838147445
18,0.40468497889663974,0.20284394997460253,0.2018410281615505,0.8996847234164517,2.575239312180448,0.1472721546097686,2.4279671514836036,0.5736172605242814
19,0.3833762129295905,0.20181985949705764,0.18155635384680993,0.9098117894334575,2.2819013419477376,0.14732466414973996,2.1345766749982045,0.6364466933726896
20,0.3745707107487729,0.20097587520212684,0.17359483525880537,0.9135377854208465,2.647886796580387,0.14659403125082704,2.501292764147751,0.6007449574812004
