epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy,learning_rate
1,1.185183088502923,0.28135155868687445,0.903831528927702,0.79473583643833,,,,,0.0001
2,0.8054194655039824,0.2258769508514931,0.5795425141883851,0.8675360657303908,,,,,9.98458666866564e-05
3,0.6740097978987029,0.2154207685916941,0.45858902952340086,0.8646699149708608,,,,,9.938441702975689e-05
4,0.5882909666208366,0.20812925705270688,0.38016170950904893,0.8794783605617655,,,,,9.861849601988383e-05
5,0.4851373974933225,0.20174055609517877,0.28339684122303693,0.9128690169102894,,,,,9.755282581475767e-05
6,0.3972356152919435,0.19672908415206242,0.20050653068645416,0.9378045285182001,,,,,9.619397662556432e-05
7,0.35036833122055155,0.1938584699772645,0.15650986154011445,0.9489825164803669,,,,,9.455032620941837e-05
8,0.32490114700695133,0.19180159008245568,0.1330995568833883,0.9540938186681953,,,,,9.26320082177046e-05
9,0.30528298022925393,0.1896179934006725,0.11566498674903597,0.9597783510079296,,,,,9.045084971874737e-05
10,0.2902930465456498,0.18838134538401866,0.10191170092593098,0.9636954237126206,,,,,8.802029828000154e-05
11,0.27927461585838403,0.1871948280839122,0.09207978738430758,0.9662271902168721,,,,,8.535533905932737e-05
12,0.26891148476166954,0.18579987109168686,0.08311161368590955,0.970335339638865,,,,,8.247240241650918e-05
13,0.2568491165613142,0.1847702656142336,0.07207885079688735,0.9725804910671635,,,,,7.938926261462365e-05
14,0.2493803466620299,0.18357328816449686,0.06580705887697558,0.9752555651093914,,,,,7.612492823579742e-05
15,0.24239868262760092,0.18257367384146742,0.059825008645950195,0.9771185631030859,,,,,7.269952498697731e-05
16,0.2344118357886327,0.18157925795515664,0.052832577322286335,0.9804624056558708,,,,,6.913417161825447e-05
17,0.22833364413400042,0.18076742605532298,0.04756621789954442,0.9823731728288908,,,,,6.545084971874736e-05
18,0.2221541578635065,0.17962704565590656,0.04252711213440523,0.9836629406706793,,,,,6.167226819279526e-05
19,0.21428411343061354,0.17898224259021916,0.03530187088900922,0.9882965510652527,,,,,5.7821723252011525e-05
20,0.21032214646775846,0.17783810599629035,0.0324840404582439,0.9883920894239037,,,,,5.392295478639223e-05
21,0.20637118625039527,0.17718691410507686,0.029184272267895387,0.9903028565969236,,,,,4.999999999999998e-05
22,0.20124375400473057,0.1762008181661638,0.025042936021516058,0.9917359319766886,,,,,4.607704521360774e-05
23,0.19867936517568854,0.17504084215324087,0.0236385231904085,0.9926435463838731,,,,,4.217827674798845e-05
24,0.1943792956935946,0.17423669492046961,0.020142600979568385,0.9934556224324066,,,,,3.832773180720472e-05
25,0.19214436612020333,0.1737104249751373,0.018433940998380426,0.9941721601222892,,,,,3.4549150281252616e-05
26,0.18966204610483187,0.17278146531937902,0.01688058066097121,0.9950797745294736,,,,,3.08658283817455e-05
27,0.1860810568419343,0.17169234998544833,0.014388706874071445,0.9955096971434031,,,,,2.730047501302265e-05
28,0.18442369228882197,0.17106114891238935,0.013362543345344865,0.9966083882678896,,,,,2.387507176420255e-05
29,0.1822062528149337,0.17038951344945386,0.011816739413715124,0.9968950033438425,,,,,2.061073738537634e-05
30,0.1806938604931213,0.16981903442888213,0.01087482638557347,0.9976593102130505,,,,,1.7527597583490816e-05
31,0.17981274444205925,0.16921678913650967,0.010595955403081616,0.9976115410337251,,,,,1.464466094067262e-05
32,0.17775405313436335,0.16855038057724794,0.009203672459869758,0.997898156109678,,,,,1.1979701719998447e-05
33,0.17682352857978317,0.1682625771141148,0.008560951562081935,0.99808923282698,,,,,9.549150281252628e-06
34,0.1760930316865279,0.1677547198540276,0.008338311954859031,0.998375847902933,,,,,7.367991782295387e-06
35,0.17459450944157673,0.16761555930906896,0.006978950098712474,0.9987102321582115,,,,,5.449673790581608e-06
36,0.1745463618180284,0.1673102944368982,0.007236067449473074,0.9986146937995605,,,,,3.806023374435661e-06
37,0.17439748334989422,0.1672712367992865,0.007126246505515155,0.998471386261584,,,,,2.447174185242322e-06
38,0.17349335494031876,0.1668942655833799,0.0065990894360383,0.9989013088755135,,,,,1.3815039801161715e-06
39,0.17374626084915876,0.16695822476258737,0.0067880362082519755,0.9986146937995605,,,,,6.155829702431167e-07
40,0.17348329438724275,0.1668154083763937,0.006667886073926242,0.9988535396961881,,,,,1.5413331334360174e-07
