split,target_type,num_samples,mean_F1_mean,mean_F1_sample_sd,exact_set_accuracy_mean,exact_set_accuracy_sample_sd,cardinality_accuracy_mean,cardinality_accuracy_sample_sd
testA,no-target,4448,0.6867505995203838,0.020924383314248174,0.6867505995203838,0.020924383314248174,0.6867505995203838,0.020924383314248174
testA,single-target,5917,0.6838506750793365,0.0006856285828281614,0.6654836347248042,0.002732095240376845,0.8786547236775393,0.003417905765786169
testA,multi-target,8835,0.6652422389293221,0.008098201888043643,0.3798151292209017,0.009213615525748954,0.7102433503112621,0.013594128069569075
testB,no-target,4673,0.692132106426992,0.02222393739518216,0.692132106426992,0.02222393739518216,0.692132106426992,0.02222393739518216
testB,single-target,5646,0.5263031185631253,0.010837135138107147,0.5093871767623096,0.009888434185056956,0.7970834809304522,0.013207163065854738
testB,multi-target,5744,0.5877292820002241,0.007439997854313777,0.3123839368616527,0.008357150434652625,0.708855617455896,0.011492009094230803
