epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy
1,1.7795150587562163,0.5031393277434373,1.2763757228965231,0.17104634495938845,1.053098057006548,0.2263343889601107,0.8267636674128578,0.6258345632159674
2,1.407385743638288,0.2963692173397376,1.111016527466152,0.09125656951743909,1.0354209937795633,0.19627366361708776,0.8391473303693052,0.6258345632159674
3,1.3276265107212715,0.2633879027096666,1.064238604323692,0.09603440038222646,0.9476893104524335,0.18009351631912515,0.7675957945286411,0.7220465247030712
4,1.1469723839424923,0.2511712180773607,0.8958011669401796,0.29431438127090304,0.831104114156336,0.16510713170807798,0.6659969828629646,0.8755358774334107
5,1.0124918502082223,0.24464809839741442,0.7678437479591461,0.3626373626373626,0.8619876518857078,0.1619819000183225,0.7000057520019555,0.8912080961416825
6,0.960070826650748,0.2395746444351526,0.7204961839954761,0.3817486860965122,0.8693596938353613,0.16236951990463183,0.7069901744407348,0.9002740881298756
7,0.9261687655398793,0.2353945328069542,0.6907742317077137,0.41853798375537504,1.0440290243436803,0.16790120932235933,0.8761278145244061,0.8790498278164313
8,0.9019179497958938,0.2328035545531381,0.6691143935767874,0.411371237458194,0.7201887206205523,0.16078766675778422,0.5594010529715678,0.9093400801180688
9,0.863928708059618,0.22977665995104826,0.634152044420657,0.39512661251791686,0.8763001124005482,0.16361920247573747,0.7126809092786645,0.9052638976737648
10,0.8324104015529867,0.22821563520729968,0.604194765391671,0.4104156712852365,0.9894853307639684,0.16113903337873722,0.8283462982643881,0.8361093541359196
11,0.8010675182652371,0.22534162063833293,0.5757258940244256,0.4820831342570473,0.751270185106963,0.15562207911233472,0.5956481070601938,0.9013985522524421
12,0.7783601934751483,0.22377339359310558,0.5545868012703496,0.5284280936454849,0.8591946584709715,0.1539511867969761,0.7052434709571604,0.8271839201630473
13,0.7345942958541538,0.22211839517821436,0.5124759016797922,0.6297181079789775,0.9731593932612177,0.16086598980633304,0.8122934038208947,0.7335020029517183
14,0.7311578650709207,0.22124208724219663,0.5099157745679828,0.6942188246536073,0.8084075976757719,0.15495757566030183,0.6534500214164495,0.8261297350481411
15,0.6817842064664743,0.2194578148534978,0.4623263921398212,0.7013855709507884,1.28367195915075,0.15795403699365,1.125717924793,0.6526108651345843
16,0.6420589280481608,0.21768655468844592,0.4243723694297382,0.7544194935499283,0.8999839819393336,0.15021242020208322,0.7497715617283489,0.7645653243376204
17,0.6099307825846702,0.216545725397043,0.39338505921669115,0.7830864787386527,0.9020305289447379,0.1495779955497704,0.7524525335646202,0.7616838850235434
18,0.6055013063531485,0.21614347527856412,0.38935783138072383,0.780697563306259,1.382769290909461,0.15856838860054934,1.2242009011229138,0.6632229952913065
19,0.5638584791047688,0.2140720629956924,0.3497864171129291,0.809842331581462,1.199639802673091,0.15121076879405668,1.0484290328495987,0.6980813830908708
20,0.550276075147637,0.21278700099370723,0.3374890724096467,0.8174868609651218,1.4807909546636364,0.15138970253093317,1.3294012508336035,0.6277320964227985
