epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy
1,1.2046376292669319,0.27388864908243893,0.9307489809361709,0.24534250501576382,0.7315202859860712,0.16183048757473192,0.5696897976337645,0.85494412818891
2,0.9225767056147257,0.2295566620640624,0.6930200431890607,0.44573421228623294,0.615758911281001,0.16207802315111094,0.4536808883304363,0.8642912362077447
3,0.8487111622389515,0.2246443622630704,0.6240668001324807,0.6170822585267985,0.9686887867042375,0.16127052989572557,0.8074182574651306,0.6764354487314639
4,0.79408794414283,0.22080680780063627,0.5732811359777439,0.6738320435654915,0.9740301992680588,0.16289712676630644,0.8111330714210019,0.7287230304308103
5,0.7469046803888351,0.21790628423205166,0.5289983955844831,0.707939237603898,0.9432337408416328,0.1569836312080646,0.7862501096655089,0.7068662590484223
6,0.705548907252794,0.21485408502514775,0.4906948218717381,0.7481608865959682,1.2279133629720136,0.15409936259033155,1.0738139995595997,0.6337760910815939
7,0.6674878755909125,0.21247189350691706,0.4550159827075465,0.7703735549823254,1.0570418837115874,0.14755125021511845,0.909490633148262,0.6694075479654227
8,0.6261556878112228,0.20991265008997823,0.4162430371859587,0.795404604948887,0.9903489252329459,0.14120977672698065,0.8491391482687657,0.7268254972239792
9,0.5890965131191968,0.20760055969867777,0.3814959540412227,0.8161364287761537,1.0680222039028684,0.14365149599875893,0.9243707087665107,0.6933024105699628
10,0.5576405006549734,0.20580801335016158,0.35183248697452907,0.8319957963122193,1.154516189588801,0.13948833007543235,1.0150278593719915,0.6883126010260735
11,0.5342109157554602,0.20432626770858586,0.32988464841559517,0.8442724753988726,1.0879927950646338,0.13966294859143735,0.9483298473502589,0.7096071403471783
12,0.5092788146983317,0.2027568611366833,0.30652195334667987,0.8549727715677845,1.6036510893713607,0.13887730761142447,1.464773781335281,0.6200014055801532
13,0.48286338428963765,0.20125461028436997,0.2816087738289152,0.8684914493169007,1.613092515111531,0.13656292256352454,1.4765295916510464,0.6372197624569541
14,0.4631902498844486,0.20025441597631444,0.2629358338668488,0.8747969809878666,1.2879010656828522,0.13497783593852822,1.1529232296532141,0.7094665823318574
15,0.4400113452878303,0.19882279857701282,0.241188547065302,0.8867392758192414,1.58701259821446,0.13565052777656525,1.4513620711384976,0.6486752407056012
16,0.41962415389371394,0.19810685150953833,0.22151730264398856,0.8956721123531097,1.63293797801087,0.13894516478505822,1.4939928119068144,0.6643474594138731
17,0.40383097504355386,0.1967373523845866,0.2070936223713935,0.9010700296168912,1.6093270728304763,0.13129882748377567,1.4780282471777977,0.6980813830908708
18,0.3863803046052841,0.19570180070175874,0.1906785037597385,0.9090474825642495,1.6176000902042662,0.131959792778186,1.4856402970967235,0.683955302551128
19,0.3670202937214539,0.19464921959266288,0.17237107402379812,0.9165472437183529,1.329776759199252,0.130710450963408,1.1990663096637542,0.7410921357790428
20,0.3549093936107397,0.19359668810570083,0.16131270519255156,0.9232349288239228,2.1727699567499363,0.13262298391692476,2.0401469750714845,0.6381333895565394
