epoch,total_loss,membership_loss,count_loss,count_accuracy
1,1.8622991487390963,0.5814057629870503,1.2808933746740685,0.5733397037744864
2,1.6199524382114183,0.46204049623986493,1.1579119432957845,0.5695174390826565
3,1.5471313047568536,0.41419938884451235,1.1329319154139745,0.6063067367415194
4,1.3949885835387863,0.3892386179333717,1.0057499692933274,0.7381748686096512
5,1.2300022662227028,0.38464752669774116,0.8453547385282284,0.7486860965121834
6,1.1685246150572222,0.37917295096880843,0.7893516562284605,0.7902532250358337
7,1.1070992694308868,0.37224441389404184,0.734854852731753,0.8045867176301958
8,1.066172020120935,0.3670016770663583,0.6991703439658757,0.8146201624462494
9,1.0522184279109665,0.36454073722375047,0.6876776922107939,0.8275203057811753
10,1.0286702467560256,0.3624942029598963,0.6661760379865986,0.8036311514572384
11,1.009455353747813,0.3593086079866534,0.650146750246459,0.8122312470138557
12,0.9929234044038104,0.35808832897162585,0.6348350781660813,0.7787864309603441
13,0.9717359488738306,0.355487111092639,0.6162488396465067,0.8146201624462494
14,0.9536843775449845,0.3531497382998068,0.6005346436450428,0.8203535594839942
15,0.9314008276825936,0.351155242151583,0.5802455891334891,0.8141423793597706
16,0.8966143145210368,0.35028255655044466,0.5463317593375405,0.8160535117056856
17,0.877443313370808,0.3485733236471432,0.5288699915889798,0.8193979933110368
18,0.8491725012894971,0.3474258868476733,0.5017466133027002,0.824653607262303
19,0.8197381195700801,0.343716674268502,0.4760214434647412,0.8322981366459627
20,0.7995662809101748,0.34316823206845504,0.4563980531703896,0.8275203057811753
