epoch,total_loss,membership_loss,count_loss,count_accuracy
1,2.0504904985427856,0.6743713021278381,1.3761192560195923,0.4375
2,1.993747591972351,0.6456015557050705,1.3481460213661194,0.4375
3,1.8985710144042969,0.6022557616233826,1.2963152527809143,0.4375
4,1.7850420475006104,0.5467613413929939,1.238280713558197,0.4375
5,1.6753034889698029,0.49239110946655273,1.1829123944044113,0.4375
6,1.5923334062099457,0.479242280125618,1.11309115588665,0.4375
7,1.534661054611206,0.4557447209954262,1.0789163261651993,0.4375
8,1.4700489044189453,0.4365541636943817,1.0334947556257248,0.4375
9,1.405103325843811,0.43182598054409027,0.9732773154973984,0.5
10,1.3585243225097656,0.4211410731077194,0.9373832643032074,0.4375
11,1.2392350435256958,0.4116572141647339,0.8275778368115425,0.5625
12,1.123499482870102,0.4104742929339409,0.7130251824855804,0.8125
13,0.984888419508934,0.3983420580625534,0.5865463539958,0.8125
14,0.7983840703964233,0.39001530036330223,0.4083687774837017,0.875
15,0.647664874792099,0.37678178399801254,0.27088309451937675,1.0
16,0.5094809308648109,0.3522929884493351,0.1571879368275404,1.0
17,0.39139869064092636,0.31888947635889053,0.07250921288505197,1.0
18,0.3487096503376961,0.3120303601026535,0.0366792855784297,1.0
19,0.2952483110129833,0.28268347308039665,0.012564842007122934,1.0
20,0.2637941688299179,0.25758444145321846,0.0062097260961309075,1.0
