epoch,total_loss,membership_loss,count_loss,count_accuracy
1,1.8599461060759557,0.5857159838087526,1.2742301201740636,0.36024844720496896
2,1.5929718510249102,0.47037076339218187,1.1226010869919714,0.09125656951743909
3,1.5201450550436575,0.4222147600735083,1.0979302982024126,0.09221213569039656
4,1.4497313566089416,0.3922136877207339,1.0575176618683584,0.13282369804108934
5,1.333306035355296,0.38619436268822405,0.9471116749453191,0.2666029622551362
6,1.2591822718070331,0.3879090985981859,0.8712731725680902,0.3425704730052556
7,1.1572579329399988,0.37945578328115315,0.7778021487048296,0.35451505016722407
8,1.0908963868792296,0.37236152127264105,0.7185348669308199,0.3669374104156713
9,1.0680370335367042,0.3680594248089332,0.6999776075459301,0.37888198757763975
10,1.0286628526759614,0.3647095851076885,0.6639532686646794,0.42044911610129
11,1.0157488898916558,0.36171824083166493,0.6540306504696565,0.4438604873387482
12,0.9883626245506859,0.3599591975256523,0.6284034298301255,0.4682274247491639
13,0.9499366170928288,0.3573354046935962,0.5926012146774798,0.4873387482083134
14,0.9173912310281326,0.35539795961667064,0.5619932709558125,0.5752508361204013
15,0.8987282683732005,0.35338604145510255,0.5453422299937318,0.630673674151935
16,0.856108221635258,0.35147536537092494,0.5046328561504207,0.6908743430482561
17,0.8451700021191982,0.3504751066428534,0.49469489477151213,0.7104634495938844
18,0.8173326424189976,0.3490594994264303,0.4682731445446233,0.7262302914476828
19,0.8035413967156262,0.3453566792104669,0.45818472042416364,0.7482083134257047
20,0.7888100519740747,0.34546348287395123,0.4433465718767373,0.754897276636407
