epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy,learning_rate
1,1.1190168810765426,0.26919311722928274,0.8498237652936705,0.2926817617273335,0.906780093854783,0.21766881861205645,0.6891112755352998,0.4006041309494653,0.0001
2,0.8139584735527049,0.21719477001445575,0.5967637043383307,0.5236935129454476,0.7828795745967602,0.20538102494365235,0.577498548363596,0.5629030941301331,9.98458666866564e-05
3,0.7039717597561442,0.20752942624173648,0.49644233371371627,0.6985287092767746,0.7078314414607504,0.19870925348269394,0.5091221891979225,0.6905053473752959,9.938441702975689e-05
4,0.6077486157952583,0.20094834183671703,0.40680027434292204,0.7860418458010892,0.6429811649706346,0.194439314183522,0.44854185139902253,0.6220915993142297,9.861849601988383e-05
5,0.5261733775820149,0.19620428221027797,0.32996909505889366,0.8410241712047387,0.6042713730741456,0.19027785526180874,0.41399351777432064,0.8482325087762266,9.755282581475767e-05
6,0.46326422470397455,0.19296349891137288,0.2703007257954489,0.8780452851820005,0.5556022471501415,0.18742021584513965,0.36818203231380153,0.8008817046289493,9.619397662556432e-05
7,0.43756162977906526,0.19115600244721268,0.2464056271474922,0.8895098882201203,0.6464659185913283,0.18713581943391042,0.45933009907743166,0.8968079026859336,9.455032620941837e-05
8,0.40859198347025893,0.18948543281305527,0.21910655087430758,0.9017387981274482,0.5539449793785015,0.18451216861001032,0.36943281208415824,0.8828475793942363,9.26320082177046e-05
9,0.3846341200073959,0.18789988208935482,0.19673423743329418,0.9096207127161555,0.6216284723143274,0.18408229112435345,0.43754618150687763,0.9039105233080251,9.045084971874737e-05
10,0.3687875802541765,0.18684696192794695,0.1819406180244195,0.9186968567880004,0.5281411655869461,0.18303202040367578,0.34510914510252383,0.8781941382970039,8.802029828000154e-05
11,0.35819936886300235,0.18590909845680725,0.17229027041971962,0.9206553931403458,0.5530319568251812,0.18232165963973443,0.37071029838356756,0.8967262633684382,8.535533905932737e-05
12,0.34089045188278233,0.1849775847723437,0.15591286711809063,0.9291583070602847,0.7305952220223312,0.18669484482486742,0.5439003771842341,0.9155033063923586,8.247240241650918e-05
13,0.3317078030575218,0.18425381468066038,0.14745398833308473,0.9339352249928347,0.5516596072474999,0.18172280349069123,0.36993680403394724,0.8942770838435791,7.938926261462365e-05
14,0.3190029519323156,0.183268386478056,0.135734565886688,0.9390465271806631,0.7313926158749198,0.1815310698250443,0.549861545777679,0.919095436362152,7.612492823579742e-05
15,0.31007014918124604,0.18264231174896675,0.12742783740700983,0.943154676602656,0.6692889609602736,0.18086407806413185,0.48842488177207666,0.9198301902196098,7.269952498697731e-05
16,0.29822251308872033,0.18204830767853936,0.11617420568618772,0.9478360561765549,0.709874203465882,0.1810987550555122,0.5287754489199399,0.9186872397746755,6.913417161825447e-05
17,0.2935722692113922,0.18149697720247113,0.1120752919482387,0.9474061335626254,0.5721804590378599,0.18062381594716231,0.3915566451529281,0.8910931504612621,6.545084971874736e-05
18,0.28341126644396103,0.18077700548325978,0.10263426085054772,0.9510843603706889,0.6234464859797503,0.17975138285677766,0.4436951042192478,0.9134623234549759,6.167226819279526e-05
19,0.2784803411225324,0.18031810080411725,0.0981622403243766,0.9545715104614503,0.7333439694165074,0.18156517898963903,0.5517787887371972,0.9221160911094783,5.7821723252011525e-05
